PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,Timestamp
0.766,0.7826424,0.1187,0,0,0,11/08/2024 12:11:14
0.766,0.7804552,0.1187,0,0,0,11/08/2024 12:11:15
0.766,0.7803001,0.1187,-5.988604E-06,8.378138E-07,-3.795268E-06,11/08/2024 12:11:15
0.766,0.7803001,0.1187,-1.109301E-05,-4.2533E-07,-6.060591E-06,11/08/2024 12:11:15
0.766,0.7803001,0.1187,-1.174005E-05,1.001779E-06,-4.638616E-06,11/08/2024 12:11:15
0.766,0.7803001,0.1187,-1.609019E-06,-1.2044E-06,-3.579742E-06,11/08/2024 12:11:15
0.766,0.7803001,0.1187,-7.859257E-06,8.176439E-07,-5.829008E-06,11/08/2024 12:11:15
0.766,0.7803001,0.1187,-1.862591E-06,1.651961E-06,-4.999862E-06,11/08/2024 12:11:15
0.766,0.7803001,0.1187,-1.175891E-05,-8.005475E-07,-4.178069E-06,11/08/2024 12:11:15
0.766,0.7803001,0.1187,-1.175891E-05,-8.005475E-07,-4.178069E-06,11/08/2024 12:11:15
0.766,0.7803001,0.1187,-1.175891E-05,-8.005475E-07,-4.178069E-06,11/08/2024 12:11:15
0.766,0.7803001,0.1187,-1.175891E-05,-8.005475E-07,-4.178069E-06,11/08/2024 12:11:15
0.766,0.7803001,0.1187,-1.175891E-05,-8.005475E-07,-4.178069E-06,11/08/2024 12:11:15
0.766,0.7803001,0.1187,-1.175891E-05,-8.005475E-07,-4.178069E-06,11/08/2024 12:11:15
0.766,0.7803001,0.1187,-1.175891E-05,-8.005475E-07,-4.178069E-06,11/08/2024 12:11:15
0.766,0.7803001,0.1187,-1.175891E-05,-8.005475E-07,-4.178069E-06,11/08/2024 12:11:15
0.766,0.7803001,0.1187,-1.175891E-05,-8.005475E-07,-4.178069E-06,11/08/2024 12:11:15
0.766,0.7803001,0.1187,-1.175891E-05,-8.005475E-07,-4.178069E-06,11/08/2024 12:11:15
0.766,0.7803001,0.1187,-1.175891E-05,-8.005475E-07,-4.178069E-06,11/08/2024 12:11:15
0.766,0.7803001,0.1187,-1.175891E-05,-8.005475E-07,-4.178069E-06,11/08/2024 12:11:15
0.766,0.7803001,0.1187,-1.175891E-05,-8.005475E-07,-4.178069E-06,11/08/2024 12:11:16
0.766,0.7803001,0.1187,-1.175891E-05,-8.005475E-07,-4.178069E-06,11/08/2024 12:11:16
0.766,0.7803001,0.1187,-1.175891E-05,-8.005475E-07,-4.178069E-06,11/08/2024 12:11:16
