CubePosX,CubePosY,CubePosZ,CubeRotX,CubeRotY,CubeRotZ,HandPosX,HandPosY,HandPosZ,Time,TrialCondition,TrialNumber,FPS,Timestamp
0.3629,0.7803,0.1187,-8.094266E-06,1.039944E-06,-2.625414E-06,0.3301872,0.8206313,-0.06588233,0.05512067,Lifting,3,0,18/08/2024 23:02:07
0.3629,0.7803,0.1187,-5.84137E-06,1.141271E-06,-2.644845E-06,0.3323008,0.8203467,-0.06232593,0.05643868,Lifting,3,0,18/08/2024 23:02:07
0.3629,0.7803,0.1187,-1.045666E-06,1.32516E-06,-2.719069E-06,0.3365485,0.8197116,-0.05562231,0.05777559,Lifting,3,0,18/08/2024 23:02:07
0.3629,0.7803,0.1187,-4.842749E-06,1.5129E-06,-2.78068E-06,0.3391078,0.8192726,-0.05171957,0.05893621,Lifting,3,0,18/08/2024 23:02:07
0.3629,0.7803,0.1187,-9.838316E-06,1.600011E-06,-2.823823E-06,0.3399381,0.8188832,-0.05054129,0.06022321,Lifting,3,0,18/08/2024 23:02:07
0.3629,0.7803,0.1187,-5.093089E-06,-1.49259E-06,-2.895068E-06,0.3410006,0.8183218,-0.04883474,0.06146294,Lifting,3,0,18/08/2024 23:02:07
0.3629,0.7803,0.1187,-7.791224E-06,1.972356E-06,-2.964911E-06,0.3415513,0.8178768,-0.04753886,0.06260581,Lifting,3,0,18/08/2024 23:02:07
0.3629,0.7803,0.1187,-5.538724E-06,2.073686E-06,-2.984557E-06,0.3416606,0.8174295,-0.04674087,0.06387745,Lifting,3,0,18/08/2024 23:02:07
0.3629,0.7803,0.1187,-8.189526E-06,-1.023705E-06,-3.06441E-06,0.3419491,0.8168412,-0.04513023,0.06516112,Lifting,3,0,18/08/2024 23:02:07
0.3629,0.7803,0.1187,-1.078392E-05,-8.446922E-07,-3.142278E-06,0.3421942,0.8163844,-0.04379402,0.06627239,Lifting,3,0,18/08/2024 23:02:07
0.3629,0.7803,0.1187,-7.041614E-06,-6.61481E-07,-3.215278E-06,0.3423188,0.8157981,-0.04247675,0.06762651,Lifting,3,0,18/08/2024 23:02:07
0.3629,0.7803,0.1187,-4.789094E-06,-5.601637E-07,-3.234552E-06,0.3422751,0.8153107,-0.04170685,0.06888314,Lifting,3,0,18/08/2024 23:02:07
0.3629,0.7803,0.1187,-7.487249E-06,2.904824E-06,-3.304393E-06,0.3423697,0.814653,-0.04023903,0.07020595,Lifting,3,0,18/08/2024 23:02:07
0.3629,0.7803,0.1187,-1.013243E-05,-1.926017E-07,-3.379763E-06,0.3425217,0.8141197,-0.0390852,0.07138762,Lifting,3,0,18/08/2024 23:02:07
0.3629,0.7803,0.1187,-5.484645E-06,6.718263E-10,-3.438816E-06,0.3426256,0.8134846,-0.03805337,0.07274454,Lifting,3,0,18/08/2024 23:02:07
0.3629,0.7803,0.1187,-8.085269E-06,1.79728E-07,-3.521577E-06,0.3427426,0.8126701,-0.03721192,0.07445843,Lifting,3,0,18/08/2024 23:02:07
0.3629,0.7803,0.1187,-1.082818E-05,3.681928E-07,-3.584147E-06,0.3429126,0.8120496,-0.03672479,0.07575579,Lifting,3,0,18/08/2024 23:02:07
0.3629,0.7803,0.1187,-1.036494E-06,4.649704E-07,-3.615226E-06,0.3429585,0.8115391,-0.03653942,0.07701062,Lifting,3,0,18/08/2024 23:02:07
