CubePosX,CubePosY,CubePosZ,CubeRotX,CubeRotY,CubeRotZ,HandPosX,HandPosY,HandPosZ,Time,TrialCondition,TrialNumber,FPS,Timestamp
0.3641415,0.7845455,0.122843,8.775095,359.8199,357.8053,0.3613679,0.8026433,-0.02949916,0.1971087,Lifting,35,143.4556,23/08/2024 00:20:39
0.3639797,0.7846722,0.1232129,9.512529,359.8581,358.1287,0.3612695,0.8025998,-0.02891677,0.1981238,Lifting,35,122.411,23/08/2024 00:20:39
0.3638849,0.7847835,0.1235477,10.1638,359.9341,358.4359,0.3611748,0.8025479,-0.02838696,0.1993135,Lifting,35,137.741,23/08/2024 00:20:39
0.3638137,0.784905,0.1238039,10.65813,359.9505,358.568,0.3611159,0.8025014,-0.02798523,0.2003708,Lifting,35,121.2592,23/08/2024 00:20:39
0.3637357,0.7850097,0.1240352,11.10787,359.9691,358.7109,0.3610255,0.8024514,-0.02762494,0.2015718,Lifting,35,96.34468,23/08/2024 00:20:39
0.3636308,0.7850913,0.1242744,11.57634,-0.0004291056,358.912,0.3608902,0.8023925,-0.02726118,0.2030834,Lifting,35,125.0907,23/08/2024 00:20:39
0.3636066,0.7851974,0.1244641,11.94554,-0.0003836618,358.952,0.3607984,0.8023486,-0.02697128,0.2042475,Lifting,35,132.6137,23/08/2024 00:20:39
0.3636495,0.7853068,0.1246334,12.24767,0.007807666,358.946,0.3607053,0.8023089,-0.02671361,0.2053457,Lifting,35,125.6297,23/08/2024 00:20:39
0.3636599,0.7854207,0.1248064,12.57863,0.0007670363,358.9238,0.3605971,0.8022691,-0.02645739,0.2065049,Lifting,35,125.4501,23/08/2024 00:20:39
0.3638,0.7856892,0.1250357,13.01716,359.9257,358.619,0.3605163,0.8022307,-0.02609719,0.2076658,Lifting,35,63.8843,23/08/2024 00:20:39
0.3637079,0.7858227,0.1254251,13.77631,359.9694,358.8409,0.3602116,0.8021535,-0.02561097,0.2099454,Lifting,35,112.8694,23/08/2024 00:20:39
0.363653,0.7859629,0.1257905,14.47709,359.9774,358.9475,0.3600536,0.8021184,-0.02513547,0.2112357,Lifting,35,126.5598,23/08/2024 00:20:39
0.3637523,0.7861533,0.126138,15.08117,359.957,358.8506,0.3599387,0.802088,-0.02469154,0.2123863,Lifting,35,124.8767,23/08/2024 00:20:39
0.3638478,0.7863907,0.126445,15.65092,359.9012,358.6553,0.3598433,0.8020584,-0.02431035,0.2135525,Lifting,35,142.6859,23/08/2024 00:20:39
0.3640064,0.7866458,0.1266765,16.08586,359.8062,358.3253,0.3597731,0.8020348,-0.02402808,0.2145732,Lifting,35,135.8271,23/08/2024 00:20:39
0.3641827,0.7868993,0.1268773,16.46659,359.7046,357.9692,0.3596827,0.8020083,-0.02378516,0.2156454,Lifting,35,144.9065,23/08/2024 00:20:39
0.3643676,0.7871437,0.1270449,16.78745,359.5973,357.5938,0.3595928,0.8019845,-0.02357851,0.2166504,Lifting,35,135.9638,23/08/2024 00:20:39
0.3645801,0.7872893,0.1271744,17.03393,359.4798,357.1688,0.3594923,0.8019403,-0.02344651,0.2177214,Lifting,35,139.6063,23/08/2024 00:20:39
0.3646525,0.7874643,0.1273219,17.26606,359.442,357.0825,0.3593736,0.8019325,-0.02323021,0.2187646,Lifting,35,166.6555,23/08/2024 00:20:39
0.3648717,0.7877089,0.1274441,17.48511,359.3155,356.6616,0.3592936,0.8019159,-0.02306971,0.2196385,Lifting,35,149.7993,23/08/2024 00:20:39
0.3651384,0.7878915,0.127578,17.71819,359.1647,356.1594,0.3591942,0.801855,-0.02295368,0.2206106,Lifting,35,143.2029,23/08/2024 00:20:39
0.3651608,0.7880313,0.127675,17.89293,359.1475,356.1122,0.3590789,0.8018717,-0.02276997,0.2216276,Lifting,35,155.4968,23/08/2024 00:20:39
0.3654031,0.7882749,0.1277957,18.10853,359.0056,355.6453,0.358981,0.8018566,-0.022612,0.2225641,Lifting,35,131.907,23/08/2024 00:20:39
0.3656451,0.7885011,0.1279214,18.32819,358.8642,355.1853,0.3588562,0.8018343,-0.02243114,0.2236682,Lifting,35,128.0672,23/08/2024 00:20:39
0.3660235,0.7888047,0.1281042,18.58962,358.6009,354.489,0.3587152,0.8018109,-0.02221124,0.2248053,Lifting,35,130.1575,23/08/2024 00:20:39
0.3665272,0.7891865,0.1282928,18.86452,358.3026,353.6153,0.3585825,0.8017931,-0.0219779,0.2259242,Lifting,35,132.9186,23/08/2024 00:20:39
0.3672217,0.7895865,0.1285302,19.18776,357.8725,352.3916,0.3584499,0.8017045,-0.0218163,0.2270199,Lifting,35,137.544,23/08/2024 00:20:39
0.367439,0.7898341,0.128517,19.18861,357.7324,351.9541,0.358353,0.8017705,-0.0216626,0.2280787,Lifting,35,138.0929,23/08/2024 00:20:39
0.3680023,0.7901847,0.1285503,19.12674,357.3183,350.9779,0.3582535,0.801764,-0.02158127,0.2291332,Lifting,35,115.1689,23/08/2024 00:20:39
0.3684666,0.7904834,0.1285242,19.04942,357.0526,350.1648,0.3581198,0.801748,-0.02151759,0.2303977,Lifting,35,132.0481,23/08/2024 00:20:39
0.368876,0.7907275,0.1284638,18.92232,356.8348,349.4528,0.357993,0.8017359,-0.02147509,0.2315006,Lifting,35,134.7237,23/08/2024 00:20:39
