CubePosX,CubePosY,CubePosZ,CubeRotX,CubeRotY,CubeRotZ,HandPosX,HandPosY,HandPosZ,Time,TrialCondition,TrialNumber,FPS,Timestamp
0.5730837,0.7811511,0.1187426,0.2147916,0.0636484,357.5854,0.5186102,0.7612137,-0.01728799,0.3496809,Stacking_Middle,101,143.1619,23/08/2024 00:40:48
0.5732207,0.7812858,0.118728,0.1903527,0.06312151,357.2639,0.5186323,0.7610083,-0.01715397,0.3499873,Stacking_Middle,101,143.1332,23/08/2024 00:40:48
0.5733609,0.7813131,0.1187349,0.2951113,0.1197507,357.1506,0.5186734,0.7607157,-0.01689534,0.3502937,Stacking_Middle,101,162.2507,23/08/2024 00:40:48
0.5734846,0.7814428,0.1187433,0.3006242,0.1054918,356.8412,0.5186821,0.7605079,-0.01660973,0.350564,Stacking_Middle,101,146.6061,23/08/2024 00:40:48
0.5736207,0.7815536,0.1187623,0.340614,0.1062605,356.5371,0.5186291,0.7602999,-0.01629343,0.3508632,Stacking_Middle,101,147.4209,23/08/2024 00:40:48
0.5734026,0.7815734,0.1190255,0.7632791,0.03029056,356.8479,0.5185001,0.760031,-0.01553694,0.3511607,Stacking_Middle,101,168.5346,23/08/2024 00:40:48
0.5732693,0.7818074,0.1193222,1.472731,0.05546562,357.173,0.5182996,0.7598544,-0.01467814,0.3514209,Stacking_Middle,101,147.0026,23/08/2024 00:40:48
0.5730273,0.7819345,0.1197231,2.358677,0.06011429,357.7088,0.5180318,0.7596893,-0.01392577,0.3517193,Stacking_Middle,101,146.5094,23/08/2024 00:40:48
0.5725341,0.7821583,0.1204015,3.80871,0.1209809,358.7905,0.5175573,0.7594525,-0.0126552,0.3520187,Stacking_Middle,101,162.8055,23/08/2024 00:40:48
0.572264,0.7822546,0.1206939,4.442897,0.1537002,359.3672,0.5172663,0.7592989,-0.01194086,0.3522881,Stacking_Middle,101,139.9384,23/08/2024 00:40:48
0.5722772,0.7822946,0.1207525,4.574689,0.1626657,359.3479,0.5169932,0.7591261,-0.01156911,0.3526015,Stacking_Middle,101,160.241,23/08/2024 00:40:48
0.5719454,0.7822075,0.1208449,4.73569,0.2332286,0.01324798,0.5165974,0.758953,-0.01123681,0.3528752,Stacking_Middle,101,141.9023,23/08/2024 00:40:48
0.572039,0.7830601,0.1216382,6.285555,359.9431,0.174672,0.516349,0.7587907,-0.01103797,0.3531843,Stacking_Middle,101,155.0075,23/08/2024 00:40:48
0.572161,0.7841973,0.1232826,9.459082,359.6368,0.2734369,0.5160419,0.7586015,-0.01090663,0.3534672,Stacking_Middle,101,175.1712,23/08/2024 00:40:48
0.5722798,0.785067,0.1247246,12.32055,359.5739,-6.827346E-05,0.5158874,0.7584429,-0.01085201,0.3537176,Stacking_Middle,101,133.4864,23/08/2024 00:40:48
0.5722691,0.7854674,0.1253525,13.54672,359.555,-0.002221961,0.5158311,0.7582564,-0.01074867,0.3540462,Stacking_Middle,101,147.8962,23/08/2024 00:40:48
