CubePosX,CubePosY,CubePosZ,CubeRotX,CubeRotY,CubeRotZ,HandPosX,HandPosY,HandPosZ,Time,TrialCondition,TrialNumber,FPS,Timestamp
0.766,0.7803001,0.1187,3.288832E-06,-5.609907E-06,-4.668396E-06,0.6994724,0.7599763,-0.01121812,0.7429875,Stacking_Top,84,0,17/08/2024 19:36:40
0.766,0.7803001,0.1187,5.610542E-06,-6.011449E-06,-3.553954E-06,0.6994943,0.7598195,-0.0107786,0.7431527,Stacking_Top,84,0,17/08/2024 19:36:40
0.766,0.7803001,0.1187,3.55634E-06,-3.681285E-06,-1.319369E-06,0.6997141,0.7596561,-0.01016905,0.7433837,Stacking_Top,84,0,17/08/2024 19:36:40
0.766,0.7803001,0.1187,3.307566E-06,-4.138216E-06,-4.458883E-06,0.6997949,0.759516,-0.00987325,0.743564,Stacking_Top,84,0,17/08/2024 19:36:40
0.766,0.7803001,0.1187,8.585149E-06,-4.996969E-06,-2.218405E-06,0.7000251,0.7593746,-0.009483333,0.7437556,Stacking_Top,84,0,17/08/2024 19:36:40
0.766,0.7803001,0.1187,3.626836E-06,-5.415918E-06,-1.110507E-06,0.7000949,0.7592407,-0.009244934,0.7439305,Stacking_Top,84,0,17/08/2024 19:36:40
0.766,0.7803001,0.1187,5.699736E-06,-6.274329E-06,-3.136008E-06,0.7002934,0.7590908,-0.008919949,0.744118,Stacking_Top,84,0,17/08/2024 19:36:40
0.766,0.7803001,0.1187,8.655722E-06,-6.731552E-06,-2.009573E-06,0.7003648,0.7589737,-0.008734143,0.7442853,Stacking_Top,84,0,17/08/2024 19:36:40
0.766,0.7803001,0.1187,6.58482E-06,-4.399871E-06,-4.040726E-06,0.700543,0.7587971,-0.00843206,0.7444898,Stacking_Top,84,0,17/08/2024 19:36:40
0.766,0.7803001,0.1187,5.641491E-06,-5.275167E-06,-1.802545E-06,0.7006947,0.7586675,-0.008203717,0.7446616,Stacking_Top,84,0,17/08/2024 19:36:40
0.766,0.7803001,0.1187,4.914263E-06,-5.690622E-06,-4.960375E-06,0.7007611,0.7585223,-0.008041509,0.7448722,Stacking_Top,84,0,17/08/2024 19:36:40
0.766,0.7803001,0.1187,2.907977E-06,-6.566348E-06,-2.722577E-06,0.7009307,0.7583365,-0.007789421,0.7450714,Stacking_Top,84,0,17/08/2024 19:36:40
0.766,0.7803001,0.1187,5.860786E-06,-7.023139E-06,-1.592838E-06,0.7010084,0.7582089,-0.007650725,0.745263,Stacking_Top,84,0,17/08/2024 19:36:40
0.766,0.7803001,0.1187,8.08893E-06,-7.895696E-06,-3.624324E-06,0.7011818,0.7580279,-0.007424988,0.7454598,Stacking_Top,84,0,17/08/2024 19:36:40
0.766,0.7803001,0.1187,3.078496E-06,-5.108312E-06,-2.515892E-06,0.7012594,0.7579144,-0.007311689,0.7456298,Stacking_Top,84,0,17/08/2024 19:36:40
0.766,0.7803001,0.1187,5.306538E-06,-5.980972E-06,-4.547078E-06,0.701436,0.7577316,-0.007132889,0.7458351,Stacking_Top,84,0,17/08/2024 19:36:40
0.766,0.7803001,0.1187,3.30098E-06,-6.856681E-06,-2.309031E-06,0.7015865,0.7575931,-0.006995773,0.7460206,Stacking_Top,84,0,17/08/2024 19:36:40
0.766,0.7803001,0.1187,6.253422E-06,-7.313451E-06,-1.179033E-06,0.70166,0.7574478,-0.006897466,0.746235,Stacking_Top,84,0,17/08/2024 19:36:40
0.766,0.7803001,0.1187,8.481896E-06,-8.186073E-06,-3.210743E-06,0.7018286,0.7572753,-0.006761607,0.7464321,Stacking_Top,84,0,17/08/2024 19:36:40
0.766,0.7803001,0.1187,3.223407E-06,-5.855589E-06,-5.242122E-06,0.7019779,0.757094,-0.006608084,0.7466739,Stacking_Top,84,0,17/08/2024 19:36:40
0.766,0.7803001,0.1187,5.545097E-06,-6.257076E-06,-4.127897E-06,0.7020535,0.7569689,-0.006515735,0.7468766,Stacking_Top,84,0,17/08/2024 19:36:40
0.766,0.7803001,0.1187,3.490923E-06,-3.926875E-06,-1.893428E-06,0.7022103,0.7567914,-0.006347645,0.7470766,Stacking_Top,84,0,17/08/2024 19:36:40
0.766,0.7803001,0.1187,3.242568E-06,-4.383804E-06,-5.03299E-06,0.7022833,0.7566856,-0.006255476,0.7472502,Stacking_Top,84,0,17/08/2024 19:36:40
0.766,0.7803001,0.1187,8.520473E-06,-5.242558E-06,-2.792784E-06,0.7024357,0.7565237,-0.006093678,0.74744,Stacking_Top,84,0,17/08/2024 19:36:40
0.766,0.7803001,0.1187,3.56216E-06,-5.661507E-06,-1.684886E-06,0.7025062,0.756416,-0.005997862,0.7476139,Stacking_Top,84,0,17/08/2024 19:36:40
0.766,0.7803001,0.1187,8.591637E-06,-6.977178E-06,-2.584011E-06,0.7027037,0.7562579,-0.005822796,0.7478065,Stacking_Top,84,0,17/08/2024 19:36:40
0.766,0.7803001,0.1187,3.581294E-06,-4.189777E-06,-1.475687E-06,0.7027734,0.7560757,-0.005686915,0.7480913,Stacking_Top,84,0,17/08/2024 19:36:40
0.766,0.7803001,0.1187,5.654599E-06,-5.048213E-06,-3.501203E-06,0.7029436,0.7559016,-0.005575167,0.748302,Stacking_Top,84,0,17/08/2024 19:36:40
0.766,0.7803001,0.1187,3.652941E-06,-5.924369E-06,-1.267289E-06,0.7030731,0.7557749,-0.005477315,0.7484836,Stacking_Top,84,0,17/08/2024 19:36:40
0.766,0.7803001,0.1187,3.40418E-06,-6.381275E-06,-4.406884E-06,0.7031412,0.7556518,-0.005406001,0.7486888,Stacking_Top,84,0,17/08/2024 19:36:40
0.766,0.7803001,0.1187,8.681674E-06,-7.240021E-06,-2.166146E-06,0.7032854,0.7554935,-0.005309564,0.7488868,Stacking_Top,84,0,17/08/2024 19:36:40
0.766,0.7803001,0.1187,3.670873E-06,-4.452583E-06,-1.057767E-06,0.7033525,0.7553923,-0.005254325,0.7490637,Stacking_Top,84,0,17/08/2024 19:36:40
0.766,0.7803001,0.1187,5.743991E-06,-5.311038E-06,-3.082943E-06,0.7034978,0.7552352,-0.005181668,0.7492704,Stacking_Top,84,0,17/08/2024 19:36:40
0.766,0.7803001,0.1187,3.728691E-06,-6.186114E-06,-5.1183E-06,0.7036136,0.7551168,-0.005145208,0.7494543,Stacking_Top,84,0,17/08/2024 19:36:40
0.766,0.7803001,0.1187,1.723731E-06,-7.06184E-06,-2.880912E-06,0.7037452,0.7549572,-0.005133278,0.7496977,Stacking_Top,84,0,17/08/2024 19:36:40
0.766,0.7803001,0.1187,5.011625E-06,-7.933671E-06,-4.908664E-06,0.7038636,0.7548112,-0.005129096,0.7499259,Stacking_Top,84,0,17/08/2024 19:36:40
0.766,0.7803001,0.1187,7.964063E-06,-8.390447E-06,-3.778629E-06,0.7039332,0.7546899,-0.005123535,0.7501504,Stacking_Top,84,0,17/08/2024 19:36:40
0.766,0.7803001,0.1187,5.18223E-06,-6.475645E-06,-4.701413E-06,0.7040868,0.75453,-0.005126618,0.7503698,Stacking_Top,84,0,17/08/2024 19:36:40
0.766,0.7803001,0.1187,3.124939E-06,-4.144978E-06,-2.462925E-06,0.704219,0.7543184,-0.005134994,0.7507182,Stacking_Top,84,0,17/08/2024 19:36:40
0.766,0.7803001,0.1187,5.353356E-06,-5.017591E-06,-4.494539E-06,0.7043264,0.7541772,-0.005150305,0.7509512,Stacking_Top,84,0,17/08/2024 19:36:40
0.766,0.7803001,0.1187,3.348041E-06,-5.893354E-06,-2.256715E-06,0.704421,0.7540479,-0.005169172,0.7511713,Stacking_Top,84,0,17/08/2024 19:36:40
0.766,0.7803001,0.1187,6.300525E-06,-6.35012E-06,-1.126594E-06,0.7044741,0.7539356,-0.005167443,0.7513862,Stacking_Top,84,0,17/08/2024 19:36:40
0.766,0.7803001,0.1187,8.528931E-06,-7.222749E-06,-3.157847E-06,0.7045725,0.7538069,-0.005209101,0.7515922,Stacking_Top,84,0,17/08/2024 19:36:40
0.766,0.7803001,0.1187,3.51813E-06,-4.435334E-06,-2.049226E-06,0.704617,0.7537178,-0.005213778,0.7517819,Stacking_Top,84,0,17/08/2024 19:36:40
0.766,0.7803001,0.1187,5.591593E-06,-5.293815E-06,-4.07489E-06,0.7046971,0.7535954,-0.005228047,0.7519732,Stacking_Top,84,0,17/08/2024 19:36:40
0.766,0.7803001,0.1187,3.589354E-06,-6.170002E-06,-1.840591E-06,0.7047558,0.7534989,-0.00523036,0.752151,Stacking_Top,84,0,17/08/2024 19:36:40
0.766,0.7803001,0.1187,3.340883E-06,-6.626931E-06,-4.980205E-06,0.7047955,0.7534066,-0.005233466,0.7523676,Stacking_Top,84,0,17/08/2024 19:36:40
0.766,0.7803001,0.1187,8.618828E-06,-7.485668E-06,-2.739569E-06,0.7048679,0.7532727,-0.005244697,0.7525872,Stacking_Top,84,0,17/08/2024 19:36:40
0.766,0.7803001,0.1187,3.60847E-06,-4.698229E-06,-1.631173E-06,0.7049008,0.7531939,-0.005246146,0.7527746,Stacking_Top,84,0,17/08/2024 19:36:40
0.766,0.7803001,0.1187,5.681437E-06,-5.556671E-06,-3.656547E-06,0.7049578,0.7530846,-0.00525451,0.7529638,Stacking_Top,84,0,17/08/2024 19:36:40
0.766,0.7803001,0.1187,8.637743E-06,-6.013879E-06,-2.530336E-06,0.7049831,0.7530207,-0.00525666,0.7531257,Stacking_Top,84,0,17/08/2024 19:36:40
0.766,0.7803001,0.1187,3.430458E-06,-6.889758E-06,-4.562044E-06,0.7050287,0.7529219,-0.005269329,0.7533109,Stacking_Top,84,0,17/08/2024 19:36:40
0.766,0.7803001,0.1187,5.752262E-06,-7.291238E-06,-3.447823E-06,0.7050483,0.7528567,-0.005271517,0.7534751,Stacking_Top,84,0,17/08/2024 19:36:40
0.766,0.7803001,0.1187,3.698238E-06,-4.961028E-06,-1.213081E-06,0.7050871,0.7527509,-0.005291801,0.753678,Stacking_Top,84,0,17/08/2024 19:36:40
0.766,0.7803001,0.1187,3.44984E-06,-5.417989E-06,-4.352929E-06,0.7051052,0.7526882,-0.005305629,0.7538505,Stacking_Top,84,0,17/08/2024 19:36:40
0.766,0.7803001,0.1187,8.728044E-06,-6.276744E-06,-2.112489E-06,0.7051347,0.7525923,-0.005347492,0.7540439,Stacking_Top,84,0,17/08/2024 19:36:40
0.766,0.7803001,0.1187,3.704831E-06,-3.488233E-06,-5.273546E-06,0.7051464,0.7525342,-0.005367055,0.7542083,Stacking_Top,84,0,17/08/2024 19:36:40
