CubePosX,CubePosY,CubePosZ,CubeRotX,CubeRotY,CubeRotZ,HandPosX,HandPosY,HandPosZ,Time,TrialCondition,TrialNumber,FPS,Timestamp
0.7659999,0.7803001,0.1187,6.191495E-06,-2.605253E-06,-3.953431E-06,0.6770771,0.7841189,-0.01780697,0.7445455,Stacking_Top,97,132.0864,23/08/2024 00:38:53
0.7659999,0.7803001,0.1187,4.112974E-06,-3.474547E-06,-1.71798E-06,0.6777912,0.783403,-0.01697641,0.7448775,Stacking_Top,97,134.7019,23/08/2024 00:38:53
0.7659999,0.7803001,0.1187,6.262362E-06,-4.339895E-06,-3.744366E-06,0.6784386,0.7828468,-0.01617602,0.7452031,Stacking_Top,97,143.0308,23/08/2024 00:38:53
0.766,0.7803001,0.1187,3.456748E-06,-5.624572E-06,-4.66651E-06,0.6792443,0.7824782,-0.01529277,0.7455098,Stacking_Top,97,73.88307,23/08/2024 00:38:53
0.7659999,0.7803001,0.1187,5.467153E-06,-6.956674E-06,-1.298947E-06,0.6801705,0.7820123,-0.01403252,0.7461035,Stacking_Top,97,79.33675,23/08/2024 00:38:53
0.7659999,0.7803001,0.1187,5.634538E-06,-5.498195E-06,-1.088052E-06,0.6813322,0.7816259,-0.01277719,0.7466563,Stacking_Top,97,81.39941,23/08/2024 00:38:53
0.766,0.7803001,0.1187,2.904642E-06,-6.789759E-06,-2.011827E-06,0.6822057,0.781276,-0.01190916,0.7471951,Stacking_Top,97,79.37768,23/08/2024 00:38:53
0.766,0.7803001,0.1187,2.923038E-06,-5.318024E-06,-1.802359E-06,0.6833973,0.7809519,-0.01127385,0.7477477,Stacking_Top,97,60.83539,23/08/2024 00:38:53
0.766,0.7803001,0.1187,4.996454E-06,-6.176499E-06,-3.82768E-06,0.6843078,0.7805753,-0.01066605,0.7484686,Stacking_Top,97,101.3182,23/08/2024 00:38:53
0.766,0.7803001,0.1187,2.994568E-06,-7.052696E-06,-1.593636E-06,0.6850235,0.7803543,-0.009207133,0.7489015,Stacking_Top,97,127.5836,23/08/2024 00:38:53
0.766,0.7803001,0.1187,5.067937E-06,-7.911133E-06,-3.619357E-06,0.6856928,0.7802022,-0.007362914,0.7492453,Stacking_Top,97,112.4568,23/08/2024 00:38:53
0.7659999,0.7803001,0.1187,2.764707E-06,-6.037899E-06,-4.523949E-06,0.686922,0.7800651,-0.005183333,0.7496353,Stacking_Top,97,97.42126,23/08/2024 00:38:53
0.7659999,0.7803001,0.1187,8.042841E-06,-6.896634E-06,-2.283507E-06,0.6879656,0.7798968,-0.004443532,0.7500855,Stacking_Top,97,123.3578,23/08/2024 00:38:53
0.7659999,0.7803001,0.1187,2.836859E-06,-7.772534E-06,-4.315374E-06,0.6890612,0.7797768,-0.004284644,0.7504411,Stacking_Top,97,124.1111,23/08/2024 00:38:53
0.7659999,0.7803001,0.1187,8.11478E-06,-8.631293E-06,-2.074911E-06,0.6900205,0.7796555,-0.004205643,0.7507945,Stacking_Top,97,140.7202,23/08/2024 00:38:53
0.7659999,0.7803001,0.1187,6.043912E-06,-6.299562E-06,-4.105625E-06,0.6908285,0.7795537,-0.004139009,0.7511061,Stacking_Top,97,145.0979,23/08/2024 00:38:53
0.766,0.7803001,0.1187,8.520971E-06,-6.715224E-06,-2.997291E-06,0.6912856,0.7794936,-0.004172896,0.7514084,Stacking_Top,97,145.6792,23/08/2024 00:38:53
0.766,0.7803001,0.1187,3.261608E-06,-4.384726E-06,-5.028476E-06,0.6920598,0.779379,-0.004051285,0.7517095,Stacking_Top,97,145.4672,23/08/2024 00:38:53
0.766,0.7803001,0.1187,8.691171E-06,-5.257202E-06,-2.790534E-06,0.6926234,0.7792938,-0.003724269,0.7520109,Stacking_Top,97,128.317,23/08/2024 00:38:53
0.766,0.7803001,0.1187,3.40831E-06,-6.126213E-06,-4.820789E-06,0.693112,0.7792068,-0.003259875,0.7523528,Stacking_Top,97,132.707,23/08/2024 00:38:53
0.766,0.7803001,0.1187,8.838217E-06,-6.9987E-06,-2.58287E-06,0.6935273,0.7791278,-0.002774294,0.7526833,Stacking_Top,97,133.0123,23/08/2024 00:38:53
0.766,0.7803001,0.1187,3.579157E-06,-4.668224E-06,-4.613977E-06,0.6938722,0.7790539,-0.002383538,0.753013,Stacking_Top,97,138.5291,23/08/2024 00:38:53
0.7659999,0.7803001,0.1187,6.531791E-06,-5.125E-06,-3.484402E-06,0.6940292,0.7789987,-0.002193519,0.7533296,Stacking_Top,97,136.8869,23/08/2024 00:38:53
0.7659999,0.7803001,0.1187,5.588716E-06,-6.000325E-06,-1.247214E-06,0.6943595,0.7789225,-0.001893905,0.7536501,Stacking_Top,97,149.2448,23/08/2024 00:38:53
0.7659999,0.7803001,0.1187,7.813926E-06,-6.872534E-06,-3.275138E-06,0.694635,0.7788666,-0.001683087,0.7539439,Stacking_Top,97,128.2561,23/08/2024 00:38:53
0.7659999,0.7803001,0.1187,5.808174E-06,-7.748285E-06,-1.037621E-06,0.6948953,0.7788053,-0.001506699,0.7542859,Stacking_Top,97,132.4889,23/08/2024 00:38:53
0.7659999,0.7803001,0.1187,8.036601E-06,-8.620887E-06,-3.068895E-06,0.6951483,0.7787485,-0.001372108,0.7546169,Stacking_Top,97,135.0439,23/08/2024 00:38:53
0.7659999,0.7803001,0.1187,2.777722E-06,-6.290415E-06,-5.099962E-06,0.6953983,0.7786947,-0.001282392,0.7549417,Stacking_Top,97,138.2571,23/08/2024 00:38:53
0.766,0.7803001,0.1187,5.099791E-06,-6.691952E-06,-3.985917E-06,0.6955458,0.7786575,-0.001257568,0.7552589,Stacking_Top,97,138.4735,23/08/2024 00:38:53
0.766,0.7803001,0.1187,3.045063E-06,-4.361702E-06,-1.751075E-06,0.6958308,0.7785943,-0.001195212,0.7555757,Stacking_Top,97,135.7423,23/08/2024 00:38:53
0.766,0.7803001,0.1187,5.118483E-06,-5.220154E-06,-3.776338E-06,0.6960764,0.7785422,-0.001120552,0.7558988,Stacking_Top,97,129.6613,23/08/2024 00:38:53
0.766,0.7803001,0.1187,3.116238E-06,-6.096344E-06,-1.542223E-06,0.696315,0.7784895,-0.001040181,0.756237,Stacking_Top,97,130.837,23/08/2024 00:38:53
0.766,0.7803001,0.1187,5.189433E-06,-6.954826E-06,-3.567482E-06,0.6965502,0.7784371,-0.0009575329,0.7565722,Stacking_Top,97,141.6812,23/08/2024 00:38:53
0.766,0.7803001,0.1187,3.13509E-06,-4.624635E-06,-1.332753E-06,0.6967745,0.7783888,-0.0008745608,0.7568818,Stacking_Top,97,140.2171,23/08/2024 00:38:53
0.7659999,0.7803001,0.1187,2.886677E-06,-5.081556E-06,-4.472197E-06,0.6969077,0.7783521,-0.0008355873,0.7571946,Stacking_Top,97,129.5908,23/08/2024 00:38:53
0.7659999,0.7803001,0.1187,8.164468E-06,-5.940322E-06,-2.23179E-06,0.697186,0.7782852,-0.0007346921,0.7575331,Stacking_Top,97,157.5895,23/08/2024 00:38:53
0.7659999,0.7803001,0.1187,2.957473E-06,-6.816192E-06,-4.263455E-06,0.6974158,0.7782381,-0.000640707,0.7578114,Stacking_Top,97,140.1699,23/08/2024 00:38:53
0.7659999,0.7803001,0.1187,8.235279E-06,-7.674925E-06,-2.02314E-06,0.6976397,0.7781835,-0.0005541414,0.7581243,Stacking_Top,97,129.1106,23/08/2024 00:38:53
0.7659999,0.7803001,0.1187,6.164853E-06,-5.343194E-06,-4.05438E-06,0.6978696,0.7781229,-0.0004639583,0.758464,Stacking_Top,97,133.9136,23/08/2024 00:38:53
