CubePosX,CubePosY,CubePosZ,CubeRotX,CubeRotY,CubeRotZ,HandPosX,HandPosY,HandPosZ,Time,TrialCondition,TrialNumber,FPS,Timestamp
0.571942,0.7818599,0.1187,0,0,0,0.2471386,0.8564267,-0.3966101,0,Stacking_Middle,7,159.1824,21/08/2024 13:55:12
0.571942,0.7804552,0.1187,0,0,0,0.2548592,0.8557299,-0.3836779,0.0001853127,Stacking_Middle,7,192.6894,21/08/2024 13:55:12
0.571942,0.7803001,0.1186999,-0.000109929,1.091778E-05,7.893819E-05,0.2593621,0.8558711,-0.3772841,0.0003384012,Stacking_Middle,7,156.7963,21/08/2024 13:55:12
0.571942,0.7803001,0.1187,-1.137261E-05,1.322857E-06,-2.434703E-06,0.2701539,0.8572258,-0.3651494,0.0005265339,Stacking_Middle,7,185.1749,21/08/2024 13:55:12
0.571942,0.7803001,0.1187,-1.075884E-06,1.382691E-06,-2.606399E-06,0.2760423,0.858281,-0.3592361,0.0006858348,Stacking_Middle,7,170.3636,21/08/2024 13:55:12
0.571942,0.7803001,0.1187,-7.066596E-06,1.460455E-06,-2.743753E-06,0.281877,0.8593974,-0.35326,0.0008589852,Stacking_Middle,7,188.3487,21/08/2024 13:55:12
0.571942,0.7803001,0.1187,-9.246135E-06,1.603276E-06,-3.042293E-06,0.2933474,0.8616236,-0.3413373,0.001015602,Stacking_Middle,7,176.3015,21/08/2024 13:55:12
0.571942,0.7803001,0.1187,-6.693785E-06,-1.599319E-06,-3.189274E-06,0.2989881,0.8627444,-0.335403,0.00118292,Stacking_Middle,7,159.7955,21/08/2024 13:55:12
0.571942,0.7803001,0.1187,-8.872399E-06,-1.456483E-06,-3.487886E-06,0.3100845,0.8650196,-0.3235866,0.001367522,Stacking_Middle,7,187.9275,21/08/2024 13:55:12
0.571942,0.7803001,0.1187,-6.366059E-06,1.903275E-06,-3.625139E-06,0.3155385,0.866178,-0.3177046,0.00152449,Stacking_Middle,7,163.2147,21/08/2024 13:55:12
0.571942,0.7803001,0.1187,-1.205244E-06,-1.225508E-06,-3.91725E-06,0.3262518,0.8685425,-0.3060006,0.001705224,Stacking_Middle,7,191.2631,21/08/2024 13:55:12
0.571942,0.7803001,0.1187,-6.899368E-06,-1.166579E-06,-4.084945E-06,0.3315077,0.8697487,-0.300179,0.001859454,Stacking_Middle,7,169.5289,21/08/2024 13:55:12
0.571942,0.7803001,0.1187,-4.438803E-06,-1.083375E-06,-4.214865E-06,0.3366938,0.8709719,-0.2943782,0.002033457,Stacking_Middle,7,190.8397,21/08/2024 13:55:12
0.571942,0.7803001,0.1187,-6.571777E-06,2.335925E-06,-4.520582E-06,0.3468497,0.8734703,-0.2828419,0.002188029,Stacking_Middle,7,179.3465,21/08/2024 13:55:12
0.571942,0.7803001,0.1187,-3.962904E-06,2.409742E-06,-4.665669E-06,0.351815,0.8747468,-0.2771102,0.002352507,Stacking_Middle,7,165.1828,21/08/2024 13:55:12
0.571942,0.7803001,0.1187,-6.198046E-06,-7.238202E-07,-4.966057E-06,0.3615096,0.8773558,-0.2657253,0.002531088,Stacking_Middle,7,186.8391,21/08/2024 13:55:12
0.571942,0.7803001,0.1187,-1.098558E-05,-6.548005E-07,-5.119326E-06,0.366234,0.8786882,-0.260073,0.00268897,Stacking_Middle,7,159.1748,21/08/2024 13:55:12
0.571942,0.7803001,0.1187,-9.859936E-07,-5.761359E-07,-5.260771E-06,0.3708736,0.8800404,-0.2544508,0.002874292,Stacking_Middle,7,191.6186,21/08/2024 13:55:12
0.571942,0.7803001,0.1187,-4.368269E-06,-4.245884E-07,-5.54347E-06,0.3798884,0.882803,-0.2432935,0.003028236,Stacking_Middle,7,172.6668,21/08/2024 13:55:12
0.571942,0.7803001,0.1187,-6.552721E-06,-2.817486E-07,-5.846281E-06,0.3885338,0.8856468,-0.2322663,0.003199077,Stacking_Middle,7,159.6169,21/08/2024 13:55:12
0.571942,0.7803001,0.1187,-4.092557E-06,-1.985064E-07,-5.976128E-06,0.3927113,0.8870992,-0.2268048,0.003383885,Stacking_Middle,7,163.372,21/08/2024 13:55:12
0.571942,0.7803001,0.1187,-8.583449E-06,-1.483316E-07,-6.159932E-06,0.3967885,0.8885726,-0.2213802,0.003564445,Stacking_Middle,7,182.4485,21/08/2024 13:55:12
0.571942,0.7803001,0.1187,-1.121265E-05,2.280512E-08,-6.416914E-06,0.4046325,0.8915827,-0.2106451,0.003726126,Stacking_Middle,7,189.9516,21/08/2024 13:55:12
0.571942,0.7803001,0.1187,-4.216869E-06,8.853844E-08,-2.316675E-06,0.4083938,0.8931203,-0.2053393,0.003881421,Stacking_Middle,7,167.8641,21/08/2024 13:55:12
0.571942,0.7803001,0.1187,-6.550004E-06,2.408296E-07,-2.604773E-06,0.4155815,0.8962618,-0.1948584,0.00405715,Stacking_Middle,7,190.8761,21/08/2024 13:55:12
0.571942,0.7803001,0.1187,-3.941492E-06,3.146477E-07,-2.749859E-06,0.4190023,0.8978644,-0.1896847,0.004211693,Stacking_Middle,7,153.6641,21/08/2024 13:55:12
