CubePosX,CubePosY,CubePosZ,CubeRotX,CubeRotY,CubeRotZ,HandPosX,HandPosY,HandPosZ,Time,TrialCondition,TrialNumber,FPS,Timestamp
0.766,0.7818599,0.1187,0,0,0,0.2481257,0.8505681,-0.3921039,0,Stacking_Top,18,169.1217,21/08/2024 13:59:53
0.766,0.7804552,0.1187,0,0,0,0.2579499,0.8444394,-0.3771489,0.000211175,Stacking_Top,18,190.9964,21/08/2024 13:59:53
0.7660001,0.7803001,0.1186999,-0.000109929,1.091778E-05,7.893819E-05,0.2632401,0.8418835,-0.3694371,0.0003981643,Stacking_Top,18,164.7854,21/08/2024 13:59:53
0.766,0.7803001,0.1187,-1.151625E-05,1.337826E-06,-2.314438E-06,0.2747506,0.8381276,-0.3537408,0.0006148964,Stacking_Top,18,182.2656,21/08/2024 13:59:53
0.766,0.7803001,0.1187,-2.103192E-06,1.465333E-06,-2.18583E-06,0.2808951,0.8370917,-0.3454985,0.0008108428,Stacking_Top,18,161.1629,21/08/2024 13:59:53
0.766,0.7803001,0.1187,-8.67889E-06,1.59193E-06,-2.05201E-06,0.2871783,0.8366696,-0.3368276,0.001032446,Stacking_Top,18,188.7932,21/08/2024 13:59:53
0.766,0.7803001,0.1187,-4.84695E-06,-1.428564E-06,-6.044513E-06,0.3007665,0.8367189,-0.3207062,0.001221618,Stacking_Top,18,191.7729,21/08/2024 13:59:53
0.766,0.7803001,0.1187,-1.022031E-05,-1.310717E-06,-5.927676E-06,0.3075848,0.8369696,-0.3126021,0.00140785,Stacking_Top,18,162.0824,21/08/2024 13:59:53
0.766,0.7803001,0.1187,-6.031479E-06,-1.07481E-06,-5.697161E-06,0.3210437,0.8375025,-0.29626,0.001628196,Stacking_Top,18,181.7158,21/08/2024 13:59:53
0.766,0.7803001,0.1187,-1.140448E-05,-9.569643E-07,-5.580209E-06,0.3277019,0.8377396,-0.288085,0.001824736,Stacking_Top,18,155.8798,21/08/2024 13:59:53
0.766,0.7803001,0.1187,-8.270104E-06,-7.217333E-07,-5.348521E-06,0.3408574,0.8382528,-0.2716438,0.00205385,Stacking_Top,18,191.8797,21/08/2024 13:59:53
0.766,0.7803001,0.1187,-6.246811E-06,-5.991159E-07,-5.223329E-06,0.3473576,0.8385018,-0.2634048,0.002239978,Stacking_Top,18,157.1512,21/08/2024 13:59:53
0.766,0.7803001,0.1187,-2.058283E-06,-3.631684E-07,-4.993477E-06,0.3602165,0.8390507,-0.2468697,0.002467239,Stacking_Top,18,185.8874,21/08/2024 13:59:53
0.766,0.7803001,0.1187,-8.485848E-06,-2.460099E-07,-4.874897E-06,0.3665661,0.839331,-0.2385818,0.002659368,Stacking_Top,18,167.143,21/08/2024 13:59:53
0.766,0.7803001,0.1187,-6.462279E-06,-1.233685E-07,-4.749673E-06,0.3728638,0.839619,-0.2302885,0.002873043,Stacking_Top,18,188.7861,21/08/2024 13:59:53
0.766,0.7803001,0.1187,-9.812367E-06,1.171237E-07,-4.50731E-06,0.3853315,0.840205,-0.2137704,0.003062221,Stacking_Top,18,190.8798,21/08/2024 13:59:53
0.766,0.7803001,0.1187,-7.647407E-06,2.30428E-07,-4.402187E-06,0.3914798,0.8404872,-0.2055352,0.003249325,Stacking_Top,18,159.421,21/08/2024 13:59:53
0.766,0.7803001,0.1187,-1.11458E-05,4.803603E-07,-4.144902E-06,0.4036133,0.8410434,-0.189188,0.00347335,Stacking_Top,18,176.2922,21/08/2024 13:59:53
