CubePosX,CubePosY,CubePosZ,CubeRotX,CubeRotY,CubeRotZ,HandPosX,HandPosY,HandPosZ,Time,TrialCondition,TrialNumber,FPS,Timestamp
0.3629,0.7818599,0.1187,0,0,0,0.2500111,0.8522233,-0.3932447,0,Pushing,19,170.1085,21/08/2024 10:22:56
0.3629,0.7812348,0.1187,0,0,0,0.2564623,0.8493942,-0.3852688,0.0001878147,Pushing,19,181.2481,21/08/2024 10:22:56
0.3629,0.7803001,0.1187,-0.0001099304,1.091742E-05,7.893155E-05,0.2698952,0.8444062,-0.3710593,0.0003640863,Pushing,19,173.7589,21/08/2024 10:22:56
0.3629,0.7803001,0.1187,-4.57754E-06,1.377286E-06,-6.424234E-06,0.2835039,0.8404934,-0.3609381,0.0005479553,Pushing,19,132.7968,21/08/2024 10:22:56
0.3629,0.7803001,0.1187,-6.614984E-06,1.486337E-06,-2.057808E-06,0.290028,0.8387831,-0.3575069,0.0007885399,Pushing,19,159.8517,21/08/2024 10:22:56
0.3629,0.7803001,0.1187,-9.246476E-06,1.669818E-06,-6.362989E-06,0.3027811,0.8355382,-0.3507222,0.0009884058,Pushing,19,188.633,21/08/2024 10:22:56
0.3629,0.7803001,0.1187,-9.455563E-06,-1.335595E-06,-6.433609E-06,0.3212675,0.8310561,-0.3404626,0.001157776,Pushing,19,79.1797,21/08/2024 10:22:56
0.3629,0.7803001,0.1187,-4.763806E-06,2.13616E-06,-2.199836E-06,0.3331451,0.8283308,-0.3335579,0.001561275,Pushing,19,139.9051,21/08/2024 10:22:56
0.3629,0.7803001,0.1187,-9.695776E-06,2.220171E-06,-2.233421E-06,0.3389437,0.8270491,-0.3300859,0.001789636,Pushing,19,161.5953,21/08/2024 10:22:56
0.3629,0.7803001,0.1187,-4.972106E-06,-8.692077E-07,-2.270627E-06,0.3502482,0.8246506,-0.323103,0.001987345,Pushing,19,185.2778,21/08/2024 10:22:56
0.3629,0.7803001,0.1187,-9.904427E-06,-7.851879E-07,-2.304019E-06,0.3557619,0.8235799,-0.3196051,0.002159783,Pushing,19,171.9424,21/08/2024 10:22:56
0.3629,0.7803001,0.1187,-7.543414E-06,2.589516E-06,-2.321446E-06,0.3612512,0.8228237,-0.3161514,0.002345594,Pushing,19,197.0055,21/08/2024 10:22:56
0.3629,0.7803001,0.1187,-1.03587E-05,-4.953123E-07,-2.347244E-06,0.3717655,0.8217198,-0.30935,0.002507767,Pushing,19,180.3524,21/08/2024 10:22:56
0.3629,0.7803001,0.1187,-7.900815E-06,-4.064285E-07,-2.377144E-06,0.3768503,0.8212473,-0.305914,0.002684914,Pushing,19,161.0929,21/08/2024 10:22:56
0.3629,0.7803001,0.1187,-1.066574E-05,-2.147502E-07,-2.405594E-06,0.3865949,0.8205535,-0.299045,0.002883239,Pushing,19,193.0167,21/08/2024 10:22:56
0.3629,0.7803001,0.1187,-8.206856E-06,-1.25905E-07,-2.43551E-06,0.3912587,0.8202204,-0.2955782,0.003048763,Pushing,19,169.036,21/08/2024 10:22:56
0.3629,0.7803001,0.1187,-5.890743E-06,-2.768704E-08,-2.445294E-06,0.3957772,0.8199115,-0.2920938,0.00323777,Pushing,19,192.0934,21/08/2024 10:22:56
0.3629,0.7803001,0.1187,-9.675628E-07,1.500004E-07,-2.499944E-06,0.4043994,0.8193042,-0.2850659,0.003404089,Pushing,19,182.4584,21/08/2024 10:22:56
0.3629,0.7803001,0.1187,-7.102477E-06,2.427361E-07,-2.51709E-06,0.4085255,0.8190224,-0.2815185,0.003579191,Pushing,19,158.6999,21/08/2024 10:22:56
0.3629,0.7803001,0.1187,-9.71866E-06,4.249656E-07,-2.560484E-06,0.4164201,0.8185316,-0.2743632,0.003780508,Pushing,19,185.6252,21/08/2024 10:22:56
0.3629,0.7803001,0.1187,-7.31107E-06,-2.762665E-06,-2.587896E-06,0.4201936,0.818329,-0.2707559,0.003952623,Pushing,19,171.1889,21/08/2024 10:22:56
0.3629,0.7803001,0.1187,-4.943717E-06,6.120321E-07,-2.600387E-06,0.4238481,0.8181531,-0.2671281,0.004139252,Pushing,19,189.2148,21/08/2024 10:22:56
0.3629,0.7803001,0.1187,-7.616655E-06,-2.482119E-06,-2.645686E-06,0.4308081,0.8178868,-0.2598162,0.004308102,Pushing,19,178.3135,21/08/2024 10:22:56
0.3629,0.7803001,0.1187,-5.398031E-06,9.019815E-07,-2.64308E-06,0.4341096,0.8178062,-0.2561325,0.004487275,Pushing,19,163.551,21/08/2024 10:22:56
0.3629,0.7803001,0.1187,-8.071356E-06,-2.192183E-06,-2.688906E-06,0.4403389,0.8177653,-0.2487091,0.00468262,Pushing,19,189.5735,21/08/2024 10:22:56
0.3629,0.7803001,0.1187,-5.852748E-06,1.191906E-06,-2.686475E-06,0.4432664,0.8177941,-0.2449694,0.00485115,Pushing,19,161.2045,21/08/2024 10:22:56
0.3629,0.7803001,0.1187,-1.093344E-05,1.28533E-06,-2.704698E-06,0.4460611,0.8178644,-0.2412101,0.005049339,Pushing,19,190.2081,21/08/2024 10:22:56
0.3629,0.7803001,0.1187,-7.212931E-06,1.471739E-06,-2.743569E-06,0.451284,0.818086,-0.2336332,0.005217307,Pushing,19,185.0515,21/08/2024 10:22:56
0.3629,0.7803001,0.1187,-4.897165E-06,1.569967E-06,-2.75343E-06,0.4537204,0.8182172,-0.2298169,0.005389955,Pushing,19,162.5039,21/08/2024 10:22:56
0.3629,0.7803001,0.1187,-7.421278E-06,-1.533624E-06,-2.813988E-06,0.4582646,0.8185465,-0.2221331,0.005586559,Pushing,19,191.6406,21/08/2024 10:22:56
0.3629,0.7803001,0.1187,-1.003747E-05,-1.351395E-06,-2.85756E-06,0.4624014,0.8189495,-0.214389,0.005753272,Pushing,19,126.7684,21/08/2024 10:22:56
0.3629,0.7803001,0.1187,-7.676088E-06,2.02335E-06,-2.875012E-06,0.4643108,0.8191718,-0.2104926,0.006005297,Pushing,19,159.5507,21/08/2024 10:22:56
0.3629,0.7803001,0.1187,-1.029229E-05,2.205567E-06,-2.918486E-06,0.4678373,0.8196725,-0.2026574,0.00620554,Pushing,19,192.4335,21/08/2024 10:22:56
0.3629,0.7803001,0.1187,-7.884712E-06,-9.820441E-07,-2.945791E-06,0.4694606,0.8199412,-0.1987197,0.006371566,Pushing,19,172.6996,21/08/2024 10:22:56
0.3629,0.7803001,0.1187,-5.56876E-06,-8.838221E-07,-2.955706E-06,0.4709882,0.8202199,-0.1947667,0.006556563,Pushing,19,195.9632,21/08/2024 10:22:56
0.3629,0.7803001,0.1187,-8.041984E-06,-7.109988E-07,-3.01894E-06,0.4738141,0.8208655,-0.1868341,0.006719598,Pushing,19,192.0676,21/08/2024 10:22:56
0.3629,0.7803001,0.1187,-5.726027E-06,-6.127718E-07,-3.028958E-06,0.4751052,0.821211,-0.1828519,0.006885939,Pushing,19,165.9338,21/08/2024 10:22:56
0.3629,0.7803001,0.1187,-1.065819E-05,-5.2876E-07,-3.062334E-06,0.4763096,0.8215673,-0.1788562,0.007078479,Pushing,19,188.5761,21/08/2024 10:22:56
0.3629,0.7803001,0.1187,-5.88373E-06,-3.416937E-07,-3.10209E-06,0.4785236,0.822351,-0.1708454,0.007247901,Pushing,19,193.0875,21/08/2024 10:22:56
0.3629,0.7803001,0.1187,-1.081598E-05,-2.57682E-07,-3.135432E-06,0.4795172,0.8227456,-0.1668243,0.007413364,Pushing,19,168.1294,21/08/2024 10:22:56
0.3629,0.7803001,0.1187,-7.096111E-06,-7.126273E-08,-3.174429E-06,0.481291,0.8234982,-0.1587456,0.00760339,Pushing,19,183.1234,21/08/2024 10:22:56
0.3629,0.7803001,0.1187,-4.77993E-06,2.697219E-08,-3.184486E-06,0.4820665,0.823856,-0.1546877,0.007777856,Pushing,19,169.9755,21/08/2024 10:22:56
0.3629,0.7803001,0.1187,-9.71208E-06,1.109713E-07,-3.217718E-06,0.4827485,0.8241556,-0.1506076,0.007965818,Pushing,19,194.742,21/08/2024 10:22:56
0.3629,0.7803001,0.1187,-4.937436E-06,2.980831E-07,-3.257898E-06,0.4839404,0.8246679,-0.1424126,0.008129875,Pushing,19,182.8755,21/08/2024 10:22:56
0.3629,0.7803001,0.1187,-1.001792E-05,3.915348E-07,-3.276276E-06,0.4844416,0.8249269,-0.1383035,0.008304578,Pushing,19,169.6439,21/08/2024 10:22:56
0.3629,0.7803001,0.1187,-7.610692E-06,-2.796049E-06,-3.30377E-06,0.4848527,0.8251312,-0.1341749,0.008492908,Pushing,19,180.6261,21/08/2024 10:22:56
0.3629,0.7803001,0.1187,-1.047242E-05,6.81488E-07,-3.319675E-06,0.4855651,0.8255686,-0.1259082,0.008669786,Pushing,19,190.0202,21/08/2024 10:22:56
0.3629,0.7803001,0.1187,-8.013834E-06,7.703427E-07,-3.34956E-06,0.4858546,0.8258422,-0.1217763,0.008837921,Pushing,19,169.6008,21/08/2024 10:22:56
0.3629,0.7803001,0.1187,-1.062991E-05,9.526015E-07,-3.393357E-06,0.4863392,0.8264427,-0.113509,0.009026297,Pushing,19,192.4409,21/08/2024 10:22:56
0.3629,0.7803001,0.1187,-8.171022E-06,1.041447E-06,-3.423273E-06,0.4865099,0.8267846,-0.1093753,0.009192317,Pushing,19,166.0082,21/08/2024 10:22:56
0.3629,0.7803001,0.1187,-5.854909E-06,1.139665E-06,-3.433057E-06,0.4865438,0.8270198,-0.10521,0.009384771,Pushing,19,191.7693,21/08/2024 10:22:56
0.3629,0.7803001,0.1187,-9.826813E-07,-1.959136E-06,-3.485354E-06,0.4866812,0.8275371,-0.09964235,0.009551371,Pushing,19,195.825,21/08/2024 10:22:57
0.3629,0.7803001,0.1187,-6.969034E-06,-1.87582E-06,-3.517504E-06,0.4866093,0.827579,-0.09789173,0.009714521,Pushing,19,169.8773,21/08/2024 10:22:57
0.3629,0.7803001,0.1187,-4.504484E-06,-1.787017E-06,-3.542754E-06,0.4863989,0.8274478,-0.09646161,0.009902592,Pushing,19,188.9788,21/08/2024 10:22:57
0.3629,0.7803001,0.1187,-7.07516E-06,1.671742E-06,-3.593342E-06,0.4861698,0.8273919,-0.09454475,0.01007165,Pushing,19,189.4406,21/08/2024 10:22:57
0.3629,0.7803001,0.1187,-4.758936E-06,1.769944E-06,-3.603438E-06,0.4859782,0.8272418,-0.09382973,0.0102403,Pushing,19,170.1288,21/08/2024 10:22:57
0.3629,0.7803001,0.1187,-7.283226E-06,-1.333662E-06,-3.663833E-06,0.4856471,0.8270239,-0.09271482,0.01042809,Pushing,19,189.9155,21/08/2024 10:22:57
0.3629,0.7803001,0.1187,-4.967133E-06,-1.235408E-06,-3.673729E-06,0.4854307,0.8268366,-0.09224838,0.01059632,Pushing,19,164.9294,21/08/2024 10:22:57
0.3629,0.7803001,0.1187,-9.899342E-06,-1.151396E-06,-3.707552E-06,0.4851182,0.8265495,-0.09175728,0.01079003,Pushing,19,195.0535,21/08/2024 10:22:57
0.3629,0.7803001,0.1187,-5.22201E-06,2.321567E-06,-3.734585E-06,0.4847815,0.8262784,-0.09104368,0.01095383,Pushing,19,193.4199,21/08/2024 10:22:57
0.3629,0.7803001,0.1187,-1.015398E-05,2.405573E-06,-3.76819E-06,0.4845594,0.8260098,-0.09072537,0.01111901,Pushing,19,167.2073,21/08/2024 10:22:57
