Joint,Current Angle,Min Angle,Max Angle
R_IndexProximal,3.473817,3.473817,3.473817
R_IndexIntermediate,183.4333,0.01330502,359.9706
R_IndexDistal,358.1085,358.1085,358.1085
R_MiddleProximal,359.0923,359.0923,359.0923
R_MiddleIntermediate,358.5438,358.5438,358.5438
R_MiddleDistal,355.3488,355.3488,355.3488
R_LittleProximal,11.05759,11.05759,11.05759
R_LittleIntermediate,351.624,351.624,351.624
R_LittleDistal,359.4693,359.4693,359.4693
R_RingProximal,354.362,354.362,354.362
R_RingIntermediate,354.4092,354.4092,354.4092
R_RingDistal,358.6438,358.6438,358.6438
R_ThumbMetacarpal,67.56339,67.56339,67.56339
R_ThumbProximal,349.9857,349.9857,349.9857
R_ThumbDistal,8.579838,8.579838,8.579838
