Joint,AngleX,AngleZ
R_IndexProximal,349.3079,2.774716
R_IndexIntermediate,15.05899,356.9652
R_IndexDistal,357.2817,358.0546
R_MiddleProximal,349.5989,359.4701
R_MiddleIntermediate,359.8076,358.7123
R_MiddleDistal,353.6623,355.5909
R_LittleProximal,342.5717,11.30027
R_LittleIntermediate,0.2803871,355.5541
R_LittleDistal,357.5706,0.1948193
R_RingProximal,350.6062,354.9277
R_RingIntermediate,0.6642574,356.1468
R_RingDistal,0.4967143,359.4279
R_ThumbMetacarpal,11.62321,71.43714
R_ThumbProximal,356.5606,350.1772
R_ThumbDistal,344.1858,11.23194
