Joint,AngleX,AngleZ
R_IndexProximal,355.984,2.211586
R_IndexIntermediate,15.03308,356.9656
R_IndexDistal,352.0978,357.928
R_MiddleProximal,351.3342,359.1954
R_MiddleIntermediate,359.779,358.7123
R_MiddleDistal,353.2,355.632
R_LittleProximal,349.3436,10.58443
R_LittleIntermediate,358.6651,355.6261
R_LittleDistal,357.2544,0.2093442
R_RingProximal,352.1949,354.7298
R_RingIntermediate,0.660808,356.1469
R_RingDistal,357.6142,359.6476
R_ThumbMetacarpal,25.18477,70.68271
R_ThumbProximal,359.1024,350.37
R_ThumbDistal,339.4888,11.94993
