Joint,AngleX,AngleZ
R_IndexProximal,61.50725,11.23478
R_IndexIntermediate,14.79052,356.9691
R_IndexDistal,61.23251,358.2885
R_MiddleProximal,76.73681,358.9762
R_MiddleIntermediate,85.73911,340.7009
R_MiddleDistal,61.07308,339.1135
R_LittleProximal,78.18505,41.50685
R_LittleIntermediate,75.94265,330.1109
R_LittleDistal,69.79503,353.0994
R_RingProximal,80.36465,328.7276
R_RingIntermediate,83.03899,312.7047
R_RingDistal,65.89668,348.8458
R_ThumbMetacarpal,15.64314,78.17981
R_ThumbProximal,42.61252,350.6213
R_ThumbDistal,53.42094,9.400425
