Joint,AngleX,AngleZ
R_IndexProximal,76.78067,22.92734
R_IndexIntermediate,15.03515,356.9656
R_IndexDistal,356.9331,358.0466
R_MiddleProximal,83.38909,356.6151
R_MiddleIntermediate,78.76343,352.7705
R_MiddleDistal,61.75704,338.5561
R_LittleProximal,79.53378,48.14454
R_LittleIntermediate,77.93437,324.4973
R_LittleDistal,71.78281,352.2755
R_RingProximal,83.77764,303.9023
R_RingIntermediate,78.64468,333.1957
R_RingDistal,66.60477,348.4678
R_ThumbMetacarpal,40.91176,91.63891
R_ThumbProximal,29.18583,351.2459
R_ThumbDistal,11.10942,8.701399
